# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = arma11_model
# start_datetime = 2026-09-02 16:44:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 10
#     num_warmup = 1000 (Default)
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = cmdstan/arma11.data.json
# init = cmdstan/out/78103c1.init.json
# random
#   seed = 1
# output
#   file = cmdstan/out/trace-78103c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,phi,theta,sigma
-1.7859237e+114,1,2.4892061e-60,1,1,0,1.4027125e+115,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,14.38551,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,2.4311673,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,0.23979141,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,0.01862726,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,0.0013048244,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,8.8501489e-05,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,6.0491156e-06,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,4.2636176e-07,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,3.1403004e-08,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,2.4349039e-09,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.9950156e-10,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.7298676e-11,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.5874733e-12,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.5404946e-13,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.5785756e-14,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.7051774e-15,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.9379436e-16,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,2.3126623e-17,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,2.8920584e-18,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,3.7823379e-19,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,5.1633204e-20,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,7.3434484e-21,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.0861602e-21,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.6678896e-22,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,2.6546902e-23,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,4.37284e-24,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,7.4435881e-25,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
-1.7859237e+114,0,1.3075863e-25,0,1,1,1.7859237e+114,-0.95044036,-0.46047373,1.9390973,0.65580474
